Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Weighted_Moving_Average,Lag_52_weeks,Normal_Baseline_Last_Year,Seasonal_Multiplier,Multiplier_Forecast,Forecast_Error,Absolute_Error
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,,,,1.0,,,
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,,,,1.0,,,
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,,,,1.0,,,
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,1627222.824,,,1.0,1627222.824,-217495.23399999994,217495.23399999994
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,1515346.2705,,,1.0,1515346.2705,39460.409499999834,39460.409499999834
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,1512603.222,,,1.0,1512603.222,-73061.63199999998,73061.63199999998
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,1475412.2715,,,1.0,1475412.2715,-2896.4814999999944,2896.4814999999944
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,1473318.4535,,,1.0,1473318.4535,-68888.53350000014,68888.53350000014
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,1433526.725,,,1.0,1433526.725,161441.55499999993,161441.55499999993
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,1509911.9805,,,1.0,1509911.9805,35506.549499999965,35506.549499999965
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,1541612.651,,,1.0,1541612.651,-75554.37100000004,75554.37100000004
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,1513170.8675,,,1.0,1513170.8675,-121914.74749999982,121914.74749999982
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,1440561.2375,,,1.0,1440561.2375,-15460.527500000084,15460.527500000084
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,1419398.739,,,1.0,1419398.739,184556.38100000005,184556.38100000005
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,1509451.2264999999,,,1.0,1509451.2264999999,-15199.726499999873,15199.726499999873
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,1522275.1485000001,,,1.0,1522275.1485000001,-122613.07850000006,122613.07850000006
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,1463412.328,,,1.0,1463412.328,-31342.378000000026,31342.378000000026
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,1430054.4245,,,1.0,1430054.4245,185470.2855,185470.2855
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,1518936.148,,,1.0,1518936.148,23624.94200000004,23624.94200000004
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,1551524.6859999998,,,1.0,1551524.6859999998,-48240.6259999997,48240.6259999997
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,1533867.118,,,1.0,1533867.118,-111155.51799999992,111155.51799999992
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,1468889.3845000002,,,1.0,1468889.3845000002,23528.755499999737,23528.755499999737
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,1469650.739,,,1.0,1469650.739,76423.44099999988,76423.44099999988
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,1508790.179,,,1.0,1508790.179,-59851.25900000008,59851.25900000008
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,1489458.1439999999,,,1.0,1489458.1439999999,-104392.9439999999,104392.9439999999
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,1431572.349,,,1.0,1431572.349,-59585.748999999836,59585.748999999836
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,1388106.958,,,1.0,1388106.958,217384.82199999993,217384.82199999993
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,1490700.98,,,1.0,1490700.98,17536.780000000028,17536.780000000028
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,1521838.993,,,1.0,1521838.993,-8758.503000000026,8758.503000000026
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,1525247.2280000001,,,1.0,1525247.2280000001,-76104.3080000002,76104.3080000002
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,1480385.2955,,,1.0,1480385.2955,59778.23450000002,59778.23450000002
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,1504243.8605,,,1.0,1504243.8605,3216.8294999999925,3216.8294999999925
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,1510159.0184999998,,,1.0,1510159.0184999998,-79780.34849999985,79780.34849999985
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,1473825.106,,,1.0,1473825.106,-122034.07599999988,122034.07599999988
